,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bubaque,GW,11.28,-15.83,1557087858,299.2,74,8,8.36
1,Cherdakly,RU,54.36,48.84,1557082800,289.15,67,100,5.0
2,Mataura,NZ,-46.19,168.86,1557087006,283.15,98,100,1.09
3,Port Alfred,ZA,-33.59,26.89,1557087748,291.48,94,100,2.09
4,Pangnirtung,CA,66.15,-65.72,1557086400,272.15,92,75,5.1
5,Leningradskiy,RU,69.38,178.42,1557087859,266.5,83,56,4.26
6,Cape Town,ZA,-33.93,18.42,1557087505,292.04,67,0,3.1
7,Macheng,CN,31.18,115.03,1557087859,290.5,51,100,5.14
8,Cherskiy,RU,68.75,161.3,1557087859,268.8,88,0,1.96
9,Yulara,AU,-25.24,130.99,1557082800,281.15,42,0,2.6
10,Mabaruma,GY,8.2,-59.78,1557087860,299.2,91,82,2.21
11,Gravdal,NO,59.79,5.78,1557087724,278.15,75,40,6.2
12,Villanueva,NI,12.96,-86.82,1557087861,312.1,29,95,2.51
13,Quatre Cocos,MU,-20.21,57.76,1557087838,299.15,78,40,5.1
14,Lebu,ET,8.96,38.73,1557087861,288.4,53,35,1.57
15,Hermanus,ZA,-34.42,19.24,1557087326,290.93,75,0,3.58
16,Qaanaaq,GL,77.48,-69.36,1557087862,270.7,73,0,1.5
17,Colon,US,41.3,-96.61,1557087856,300.37,38,40,2.1
18,Punta Arenas,CL,-53.16,-70.91,1557087787,283.15,57,20,8.7
19,Pevek,RU,69.7,170.27,1557087863,264.4,88,0,2.75
20,Gamba,CN,28.28,88.52,1557087863,271.7,61,0,2.58
21,Albany,US,42.65,-73.75,1557087619,288.15,87,90,2.1
22,Havoysund,NO,71.0,24.66,1557085800,272.15,86,75,4.1
23,Bonthe,SL,7.53,-12.5,1557087863,301.6,78,96,3.66
24,Kapaa,US,22.08,-159.32,1557087810,296.15,46,1,6.7
25,Faanui,PF,-16.48,-151.75,1557087864,301.1,77,11,6.41
26,Rikitea,PF,-23.12,-134.97,1557087864,298.3,80,1,8.43
27,Ushuaia,AR,-54.81,-68.31,1557082800,280.15,65,40,9.3
28,Katsuura,JP,33.93,134.5,1557086984,290.93,77,20,2.1
29,Dunedin,NZ,-45.87,170.5,1557087452,285.37,92,97,2.24
30,Butaritari,KI,3.07,172.79,1557087865,302.0,79,100,5.78
31,Saldanha,PT,41.42,-6.55,1557087865,287.8,45,93,1.2
32,Grindavik,IS,63.84,-22.43,1557087577,283.71,70,20,6.7
33,Hobart,AU,-42.88,147.33,1557087615,284.15,57,75,4.6
34,Wairoa,NZ,-39.04,177.43,1557087604,283.15,99,30,1.79
35,Mbala,ZM,-8.85,31.37,1557087866,290.0,90,37,3.62
36,Kahului,US,20.89,-156.47,1557087742,298.15,47,40,2.6
37,Lompoc,US,34.64,-120.46,1557087682,291.48,55,75,7.2
38,Jamestown,AU,-33.21,138.6,1557087867,282.5,62,0,2.48
39,Primorsk,RU,60.37,28.62,1557087370,276.48,69,1,0.89
40,Nikolskoye,RU,59.7,30.79,1557087658,276.48,93,90,2.0
41,Balaipungut,ID,1.11,101.31,1557087868,295.3,96,98,0.92
42,Barra do Garcas,BR,-15.89,-52.26,1557082800,307.15,56,40,4.1
43,Guerrero Negro,MX,27.97,-114.04,1557087869,289.7,80,0,6.19
44,Aykhal,RU,65.95,111.51,1557082800,268.15,57,90,2.0
45,Sarangani,PH,5.4,125.46,1557087869,302.5,70,0,4.58
46,Vao,EE,59.1,26.19,1557087869,274.9,78,0,0.88
47,San Carlos de Bariloche,AR,-41.13,-71.31,1557082800,285.15,62,40,7.2
48,Sitka,US,37.17,-99.65,1557087869,302.5,26,5,6.05
49,Udachnyy,RU,66.42,112.4,1557082800,268.15,57,90,2.0
50,Limon,US,39.26,-103.69,1557087753,295.93,12,1,0.93
51,Northam,GB,51.04,-4.21,1557087606,282.59,65,20,2.1
52,Kaitangata,NZ,-46.28,169.85,1557087747,285.37,81,99,0.89
53,Mackay,CA,53.65,-115.58,1557086400,278.15,52,75,1.5
54,Busselton,AU,-33.64,115.35,1557087662,286.48,96,0,11.81
55,Saint-Philippe,CA,45.36,-73.48,1557087843,294.26,39,1,2.1
56,Gat,SN,14.69,-16.54,1557086400,295.15,73,0,8.2
57,Tiksi,RU,71.64,128.87,1557087872,268.1,93,63,2.23
58,New Norfolk,AU,-42.78,147.06,1557087856,284.15,57,75,4.6
59,Barrow,AR,-38.31,-60.23,1557087873,289.4,48,10,3.74
60,Ilulissat,GL,69.22,-51.1,1557085800,287.15,33,0,10.8
61,Atuona,PF,-9.8,-139.03,1557087873,301.3,76,5,7.46
62,Mount Isa,AU,-20.73,139.49,1557084600,287.15,67,0,4.1
63,Padang,ID,-0.92,100.36,1557087873,300.7,70,100,2.53
64,Norman Wells,CA,65.28,-126.83,1557086400,277.15,44,20,6.7
65,Kruisfontein,ZA,-34.0,24.73,1557087874,289.1,95,100,1.71
